entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2021-04-02,2021-04-13,long,593324.09,2.337,2.223,-68450.61,-4.9351,6,512170,医疗ETF,医疗ETF
2021-04-13,2021-04-14,long,567126.7,2.351,2.343,-5335.64,-0.4001,1,512100,中证1000ETF,中证1000ETF
2021-04-13,2021-04-14,long,372434.32,3.58,3.614,11858.98,0.8892,1,518880,黄金ETF,黄金ETF
2021-04-14,2021-04-15,long,464778.66,2.85,2.838,-6370.44,-0.4808,1,512010,医药ETF,医药ETF
2021-04-15,2021-04-19,long,493808.76,2.695,2.681,-7709.74,-0.5792,2,159915,创业板ETF,创业板ETF
2021-04-08,2021-04-20,long,1188269.74,1.154,1.138,-19829.37,-1.4456,8,512760,半导体ETF,半导体ETF
2021-04-19,2021-04-20,long,1006603.67,1.314,1.335,20338.73,1.5372,1,588000,科创50ETF,科创50ETF
2021-04-20,2021-04-27,long,851877.6,1.586,1.577,-8475.25,-0.6271,5,515030,新能源车ETF,新能源车ETF
2021-04-27,2021-04-28,long,1203952.26,1.15,1.142,-10459.46,-0.7552,1,512760,半导体ETF,半导体ETF
2021-04-28,2021-04-29,long,451091.94,3.095,3.157,27121.63,1.942,1,512010,医药ETF,医药ETF
2021-04-20,2021-05-10,long,484604.69,2.788,2.82,14692.05,1.0871,11,159915,创业板ETF,创业板ETF
2021-05-10,2021-05-11,long,365114.61,3.724,3.731,1739.22,0.1279,1,518880,黄金ETF,黄金ETF
2021-04-29,2021-05-14,long,882297.25,1.61,1.532,-69650.84,-4.9018,8,515030,新能源车ETF,新能源车ETF
2021-05-14,2021-05-19,long,486713.25,2.857,2.965,51714.94,3.7179,3,159915,创业板ETF,创业板ETF
2021-05-19,2021-05-21,long,872490.93,1.656,1.722,56700.22,3.9231,2,515030,新能源车ETF,新能源车ETF
2021-05-21,2021-05-24,long,478482.06,3.055,3.01,-22402.29,-1.5321,1,159915,创业板ETF,创业板ETF
2021-05-24,2021-05-26,long,852292.23,1.703,1.735,26394.3,1.8179,2,515030,新能源车ETF,新能源车ETF
2021-05-26,2021-05-27,long,474702.69,3.12,3.086,-17023.69,-1.1491,1,159915,创业板ETF,创业板ETF
2021-05-11,2021-05-31,long,451296.8,3.035,3.246,94373.25,6.8881,14,512010,医药ETF,医药ETF
2021-04-14,2021-05-31,long,585596.45,2.262,2.664,234544.38,17.7012,30,512170,医疗ETF,医疗ETF
2021-05-31,2021-06-01,long,471414.37,3.13,3.18,22678.33,1.5365,1,159915,创业板ETF,创业板ETF
2021-05-27,2021-06-07,long,1316849.05,1.12,1.111,-12733.01,-0.8631,7,512880,证券ETF,证券ETF
